Industry,quit level
Mining and logging,67
Federal,129
Real estate and rental and leasing,280
Information,290
Educational services,325
State and local education,470
Arts. entertainment. and recreation,474
Finance and insurance,520
State and local excluding education,547
Wholesale trade,737
Financial activities,800
Nondurable goods,806
Other services,847
Transportation. warehousing. and utilities,920
Durable goods,955
State and local,1016
Construction,1143
Government,1147
Manufacturing,1762
Health care and social assistance,3190
Education and health services,3516
Retail trade,4015
Professional and business services,4237
Accommodation and food services,4687
Leisure and hospitality,5160
Trade. transportation. and utilities,5672

