date,variation
2019-01-01,0
2019-02-01,0.6
2019-03-01,-0.5
2019-04-01,-0.9
2019-05-01,-0.2
2019-06-01,1.1
2019-07-01,2.8
2019-08-01,-1
2019-09-01,-4
2019-10-01,-1
2019-11-01,2
2019-12-01,0.1
2020-01-01,2.3
2020-02-01,-3.9
2020-03-01,-15.4
2020-04-01,-27.4
2020-05-01,4.7
2020-06-01,19.9
2020-07-01,20.3
2020-08-01,-6.1
2020-09-01,10.7
2020-10-01,1.4
2020-11-01,-1.7
2020-12-01,3.4
2021-01-01,-3
2021-02-01,2.3
2021-03-01,5.5
2021-04-01,11.9
2021-05-01,-9.1
2021-06-01,6.6
2021-07-01,4.1
2021-08-01,6
2021-09-01,2.2
