date,Italy,Usa
2019-01-01,0.00,0.00
2019-02-01,-18.54,0.62
2019-03-01,34.43,-0.54
2019-04-01,-6.63,-0.85
2019-05-01,4.05,-0.20
2019-06-01,24.72,1.15
2019-07-01,-13.01,2.84
2019-08-01,4.46,-0.99
2019-09-01,56.49,-3.95
2019-10-01,-28.20,-1.01
2019-11-01,-25.96,1.99
2019-12-01,65.53,0.14
2020-01-01,-37.69,2.32
2020-02-01,-11.26,-3.87
2020-03-01,19.40,-15.39
2020-04-01,-51.53,-27.39
2020-05-01,9.55,4.70
2020-06-01,55.88,19.95
2020-07-01,-5.01,20.26
2020-08-01,19.84,-6.13
2020-09-01,52.57,10.71
2020-10-01,-26.43,1.36
2020-11-01,-35.35,-1.67
2020-12-01,-82.43,3.37
2021-01-01,414.25,-2.96
2021-02-01,-4.98,2.33
2021-03-01,20.73,5.47
2021-04-01,-6.51,11.88
2021-05-01,24.49,-9.07
2021-06-01,36.32,6.61
2021-07-01,-7.73,4.08
2021-08-01,2.26,6.01
2021-09-01,58.49,2.15
